Fecha,appid,jugadores_historicos
2026-03-07 17:19:04.956056,1973530,44550
2026-03-07 17:19:04.956056,3241660,43650
2026-03-07 17:19:04.956056,289070,42730
2026-03-07 17:19:04.956056,4025700,41999
2026-03-07 17:19:04.956056,2399830,41481
2026-03-07 17:19:04.956056,1623730,40637
2026-03-07 17:19:04.956056,1938090,40176
2026-03-07 17:19:04.956056,3551340,40139
2026-03-07 17:19:04.956056,1222670,37720
2026-03-07 17:19:04.956056,1174180,36276
2026-03-07 17:19:04.956056,108600,36246
2026-03-07 17:19:04.956056,294100,35985
2026-03-07 17:19:04.956056,2300320,35904
2026-03-07 17:19:04.956056,4000,34088
2026-03-07 17:19:04.956056,1245620,33975
2026-03-07 17:19:04.956056,1203220,33944
2026-03-07 17:19:04.956056,1091500,33920
2026-03-07 17:19:04.956056,892970,32228
2026-03-07 17:19:04.956056,284160,31486
2026-03-07 17:19:04.956056,251570,31393
2026-03-07 17:19:04.956056,489830,30759
2026-03-07 17:19:04.956056,1142710,30600
2026-03-07 17:19:04.956056,261550,29744
2026-03-07 17:19:04.956056,2050650,29337
2026-03-07 17:19:04.956056,2183900,29245
2026-03-07 17:19:04.956056,1771300,29168
2026-03-07 17:19:04.956056,346110,29132
2026-03-07 17:19:04.956056,2622380,28545
2026-03-07 17:19:04.956056,218620,28434
2026-03-07 17:19:04.956056,377160,28359
2026-03-07 17:19:04.956056,2073620,28022
2026-03-07 17:19:04.956056,526870,27750
2026-03-07 17:19:04.956056,2923300,27579
2026-03-07 17:19:04.956056,1158310,27003
2026-03-07 17:19:04.956056,646570,26803
2026-03-07 17:19:04.956056,582660,26684
2026-03-07 17:19:04.956056,322330,26120
2026-03-07 17:19:04.956056,1905180,25780
2026-03-07 17:19:04.956056,550,25460
2026-03-07 17:19:04.956056,3472040,25105
2026-03-07 17:19:04.956056,3527290,25049
2026-03-07 17:19:04.956056,813780,24802
2026-03-07 17:19:04.956056,1818450,24772
2026-03-07 17:19:04.956056,250900,24421
2026-03-07 17:19:04.956056,252950,23992
2026-03-07 17:19:04.956056,427520,23295
2026-03-07 17:19:04.956056,255710,22052
2026-03-07 17:19:04.956056,2221490,21516
2026-03-07 17:19:04.956056,1151340,21143
2026-03-07 17:19:04.956056,629520,20600
2026-03-07 17:19:04.956056,2252570,20475
2026-03-07 17:19:04.956056,594650,20278
2026-03-07 17:19:04.956056,1364780,19952
2026-03-07 17:19:04.956056,8930,19462
2026-03-07 17:19:04.956056,739630,19089
2026-03-07 17:19:04.956056,292030,19021
2026-03-07 17:19:04.956056,1621690,18264
2026-03-07 17:19:04.956056,1149460,18152
2026-03-07 17:19:04.956056,1665460,18093
2026-03-07 17:32:20.118245,730,1469422
2026-03-07 17:32:20.118245,570,785416
2026-03-07 17:32:20.118245,578080,392655
2026-03-07 17:32:20.118245,2868840,392021
2026-03-07 17:32:20.118245,252490,198565
2026-03-07 17:32:20.118245,1808500,175086
2026-03-07 17:32:20.118245,2676230,160907
2026-03-07 17:32:20.118245,238960,153800
2026-03-07 17:32:20.118245,3764200,146603
2026-03-07 17:32:20.118245,3419430,146226
2026-03-07 17:32:20.118245,1172470,125886
2026-03-07 17:32:20.118245,359550,102901
2026-03-07 17:32:20.118245,431960,101512
2026-03-07 17:32:20.118245,271590,101360
2026-03-07 17:32:20.118245,322170,100321
2026-03-07 17:32:20.118245,2357570,95424
2026-03-07 17:32:20.118245,236390,90511
2026-03-07 17:32:20.118245,2507950,89135
2026-03-07 17:32:20.118245,1422450,85522
2026-03-07 17:32:20.118245,413150,80340
2026-03-07 17:32:20.118245,105600,69555
2026-03-07 17:32:20.118245,2767030,66057
2026-03-07 17:32:20.118245,230410,64324
2026-03-07 17:32:20.118245,1086940,64225
2026-03-07 17:32:20.118245,3240220,63225
2026-03-07 17:32:20.118245,3405690,61238
2026-03-07 17:32:20.118245,438100,60606
2026-03-07 17:32:20.118245,440,60408
2026-03-07 17:32:20.118245,553850,59798
2026-03-07 17:32:20.118245,221100,59767
2026-03-07 17:32:20.118245,3065800,57745
2026-03-07 17:32:20.118245,381210,54263
2026-03-07 17:32:20.118245,394360,53583
2026-03-07 17:32:20.118245,686060,53233
2026-03-07 17:32:20.118245,4465480,52512
2026-03-07 17:32:20.118245,2807960,51838
2026-03-07 17:32:20.118245,1281930,49299
2026-03-07 17:32:20.118245,227300,48733
2026-03-07 17:32:20.118245,1366800,47390
2026-03-07 17:32:20.118245,3564740,45682
2026-03-07 17:32:20.118245,2246340,45263
2026-03-07 17:32:20.118245,1973530,42835
2026-03-07 17:32:20.118245,289070,41578
2026-03-07 17:32:20.118245,4025700,41510
2026-03-07 17:32:20.118245,3241660,41439
2026-03-07 17:32:20.118245,2399830,41231
2026-03-07 17:32:20.118245,1938090,40761
2026-03-07 17:32:20.118245,3551340,39711
2026-03-07 17:32:20.118245,1623730,39582
2026-03-07 17:32:20.118245,1222670,37957
2026-03-07 17:32:20.118245,2300320,36489
2026-03-07 17:32:20.118245,108600,36312
2026-03-07 17:32:20.118245,1174180,35907
2026-03-07 17:32:20.118245,294100,35384
2026-03-07 17:32:20.118245,4000,34512
2026-03-07 17:32:20.118245,1245620,33415
2026-03-07 17:32:20.118245,1091500,33414
2026-03-07 17:32:20.118245,892970,32585
2026-03-07 17:32:20.118245,284160,31734
2026-03-07 17:32:20.118245,251570,31156
2026-03-07 17:32:20.118245,489830,30973
2026-03-07 17:32:20.118245,1203220,30604
2026-03-07 17:32:20.118245,1142710,30229
2026-03-07 17:32:20.118245,2183900,29235
2026-03-07 17:32:20.118245,261550,29124
2026-03-07 17:32:20.118245,2050650,28922
2026-03-07 17:32:20.118245,1771300,28862
2026-03-07 17:32:20.118245,346110,28683
2026-03-07 17:32:20.118245,377160,28509
2026-03-07 17:32:20.118245,2073620,28243
2026-03-07 17:32:20.118245,218620,28214
2026-03-07 17:32:20.118245,2923300,27939
2026-03-07 17:32:20.118245,526870,27829
2026-03-07 17:32:20.118245,1158310,26897
2026-03-07 17:32:20.118245,582660,26800
2026-03-07 17:32:20.118245,2622380,26785
2026-03-07 17:32:20.118245,552990,26678
2026-03-07 17:32:20.118245,646570,25447
2026-03-07 17:32:20.118245,550,25293
2026-03-07 17:32:20.118245,1905180,25268
2026-03-07 17:32:20.118245,3527290,25218
2026-03-07 17:32:20.118245,322330,25037
2026-03-07 17:32:20.118245,1818450,24903
2026-03-07 17:32:20.118245,813780,24680
2026-03-07 17:32:20.118245,252950,24485
2026-03-07 17:32:20.118245,250900,24286
2026-03-07 17:32:20.118245,3472040,24246
2026-03-07 17:32:20.118245,427520,23321
2026-03-07 17:32:20.118245,1151340,21849
2026-03-07 17:32:20.118245,2221490,21598
2026-03-07 17:32:20.118245,255710,21440
2026-03-07 17:32:20.118245,240,20951
2026-03-07 17:32:20.118245,629520,20609
2026-03-07 17:32:20.118245,2252570,20202
2026-03-07 17:32:20.118245,594650,19804
2026-03-07 17:32:20.118245,8930,19523
2026-03-07 17:32:20.118245,739630,19486
2026-03-07 17:32:20.118245,292030,18947
2026-03-07 17:32:20.118245,1364780,18471
2026-03-07 17:32:20.118245,1149460,18330
